name,position,years_played,All Star Selections,1st Team,2nd Team,3rd Team,All-NBA Teams,MVP Awards,G,PER,TS%,FTr,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,TOV,PPG,RPG,APG,SPG,BPG,isHOF
George Mikan,C,8,4,6.0,0.0,0.0,6.0,0.0,379.0,21.076357135941816,0.47600000000000003,0.4251666666666667,9.949209586945463,13.009962314342772,1.6482685648326214,1.410624278568677,15.085098559901937,18.906491853360368,87.8,-2.326720200028834,0.5598788286771946,2961.0,7380.0,0.399,133.29022032017753,381.62688223173245,0.2487963155163492,2536.0,3235.0,443.63899210995163,22.316622691292874,11.587433722209344,2.7097625329815305,0.6316156062188287,0.38739198100801786,1
Ed Macauley,C-F,10,7,3.0,1.0,0.0,4.0,0.0,641.0,17.495814281565092,0.5063000000000001,0.5639000000000001,9.94920958694546,13.009962314342772,1.6482685648326214,1.4106242785686767,15.08509855990194,18.906491853360368,100.49999999999999,-2.326720200028834,0.5598788286771946,3742.0,8589.0,0.422,222.15036720029588,636.0448037195541,0.2487963155163492,3750.0,4929.0,739.3983201832528,17.525741029641186,7.097718222647958,3.2433697347893915,0.622418915124639,0.38175132813842627,1
Andy Phillip,G-F,11,5,0.0,2.0,0.0,2.0,0.0,609.0,12.470801580386262,0.4371111111111111,0.4308888888888889,9.949209586945463,13.009962314342772,1.6482685648326214,1.410624278568677,15.085098559901938,18.906491853360368,44.7857962172056,-2.326720200028834,0.5598788286771946,1895.0,5075.0,0.3728888888888889,199.9353304802663,572.4403233475987,0.2487963155163492,1530.0,2177.0,665.4584881649275,8.735632183908047,4.30153921300056,5.527093596059113,0.5896116127018132,0.36162946010354374,1
Bob Davies,G-F,7,4,4.0,1.0,0.0,5.0,0.0,402.0,16.159690469275148,0.45849999999999996,0.4446666666666667,9.949209586945463,13.009962314342772,1.6482685648326214,1.410624278568677,15.085098559901937,18.906491853360368,41.20000000000001,-2.326720200028834,0.5598788286771946,1975.0,5196.0,0.3805,133.29022032017753,381.62688223173245,0.2487963155163492,1740.0,2299.0,443.63899210995163,14.154228855721392,2.9966103997943816,4.798507462686567,0.5954783949177515,0.3652277631891511,1
Bob Cousy,G,20,13,10.0,2.0,0.0,12.0,1.0,924.0,18.319933671987535,0.45549999999999996,0.3954285714285714,9.94920958694546,14.366393577604002,1.6482685648326212,1.4106242785686764,15.085098559901942,18.906491853360368,90.99999999999999,-2.326720200028834,0.5598788286771946,6168.0,16468.0,0.37185714285714294,311.0105140804143,890.4627252073759,0.24879631551634915,4624.0,5756.0,1035.157648256554,18.354978354978353,5.17965367965368,7.5270562770562774,0.6045007948407478,0.3707615171768656,1
Bob Pettit,F-C,11,11,10.0,1.0,0.0,11.0,2.0,792.0,25.327272727272724,0.5090909090909091,0.4793636363636363,9.94920958694546,12.890874831220701,1.6482685648326216,1.4106242785686767,15.08509855990194,18.906491853360368,136.1,-2.326720200028834,0.5598788286771946,7349.0,16872.0,0.4338181818181818,244.36540392032546,699.6492840915096,0.24879631551634918,6182.0,8119.0,813.3381522015782,26.363636363636363,16.223484848484848,2.9911616161616164,0.5541257286040189,0.3398647240787934,1
Dolph Schayes,F-C,15,12,6.0,6.0,0.0,12.0,0.0,996.0,19.723876187710058,0.48020000000000007,0.5071333333333332,9.949209586945463,13.009962314342772,1.648268564832621,1.4106242785686764,15.085098559901944,18.906491853360368,142.3,-2.3267202000288334,0.5598788286771946,5863.0,15427.0,0.37406666666666666,333.2255508004439,954.0672055793314,0.24879631551634915,6712.0,7904.0,1109.0974802748792,18.512048192771083,11.52674435814994,3.0843373493975905,0.6008592237874903,0.36852801406134233,1
Bill Russell,C,13,12,3.0,8.0,0.0,11.0,5.0,963.0,19.007692307692306,0.4707692307692308,0.4457692307692309,9.94920958694546,13.752284501134016,1.6482685648326212,1.4106242785686764,15.085098559901942,18.906491853360368,163.39999999999998,-2.326720200028834,0.5598788286771946,5687.0,12930.0,0.43892307692307686,288.79547736038467,826.8582448354205,0.24879631551634918,3148.0,5614.0,961.2178162382288,15.079958463136034,22.45067497403946,4.257528556593977,0.5385894932225977,0.33033580658125716,1
Tom Gola,G-F,11,5,0.0,1.0,0.0,1.0,0.0,771.0,13.625,0.4948333333333333,0.3629166666666667,9.94920958694546,14.016635261952311,1.6482685648326214,1.4106242785686767,15.085098559901942,18.906491853360368,57.699999999999996,-2.326720200028834,0.5598788286771946,3327.0,7674.0,0.436,266.58044064035505,763.253764463465,0.24879631551634918,2113.0,2775.0,887.2779842199035,11.37094682230869,7.9559014267185475,4.2282749675745785,0.6209657970348539,0.38086007990152726,1
Bill Sharman,G,11,8,4.0,3.0,0.0,7.0,0.0,711.0,17.63446103707504,0.4927272727272728,0.3218181818181818,9.94920958694546,13.009962314342772,1.6482685648326216,1.4106242785686767,15.08509855990194,18.906491853360368,82.8,-2.326720200028834,0.5598788286771946,4761.0,11188.0,0.42145454545454536,244.36540392032546,699.6492840915096,0.24879631551634918,3143.0,3559.0,813.3381522015782,17.81293952180028,3.928270042194093,2.9549929676511955,0.617253976166502,0.37858349011308634,1
Elgin Baylor,F,14,11,10.0,0.0,0.0,10.0,0.0,846.0,20.99285714285714,0.491,0.356,9.89932250309611,13.518555277575473,1.6482685648326212,1.4106242785686764,15.085098559901942,18.906491853360368,104.1,-2.326720200028834,0.5598788286771946,8693.0,20171.0,0.43064285714285705,311.0105140804143,890.4627252073759,0.24879631551634915,5763.0,7391.0,1035.157648256554,27.3628841607565,13.549645390070921,4.314420803782506,0.6602349106771288,0.4049452031577114,1
Paul Arizin,F-G,12,10,3.0,1.0,0.0,4.0,0.0,713.0,18.887907140782545,0.5059000000000001,0.4706999999999999,9.94920958694546,13.009962314342772,1.6482685648326214,1.4106242785686767,15.08509855990194,18.906491853360368,108.8,-2.326720200028834,0.5598788286771946,5628.0,13354.0,0.42069999999999996,222.15036720029588,636.0448037195541,0.2487963155163492,5010.0,6189.0,739.3983201832528,22.813464235624124,8.596072931276296,2.335203366058906,0.5595659531485183,0.34320140439934255,1
Joe Fulks,F-C,8,2,3.0,1.0,0.0,4.0,0.0,326.0,10.41162856313018,0.36319999999999997,0.2818,9.949209586945463,13.009962314342772,1.6482685648326214,1.410624278568677,15.085098559901937,18.90649185336037,-0.7,-2.3267202000288334,0.5598788286771945,1494.0,4834.0,0.30360000000000004,111.07518360014794,318.02240185977706,0.2487963155163492,1117.0,1446.0,369.69916009162637,12.5920245398773,4.919133069685096,1.4171779141104295,0.6119179825075054,0.37531073824652034,1
