G,PER,TS%,FTr,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,TOV,PPG,RPG,APG,SPG,BPG,name,MVP Awards,1st Team,2nd Team,3rd Team,All-NBA Teams,All Star Selections,isHOF
1361,13.872222222222222,0.5435555555555556,0.43711111111111106,14.655555555555557,5.216666666666666,1.4388888888888889,0.8500000000000001,11.48888888888889,14.405555555555553,104.20000000000002,-0.08333333333333343,1.2777777777777777,4778,9686,0.4876666666666666,125.0,509.0,0.14683333333333334,3247,4447,1508.0,9.498897869213813,7.442321822189567,1.0793534166054373,0.8104335047759,0.4129316678912564,A.C. Green,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,-0.4,0.19,0.0,20.1,0.0,0.8,0.0,12.5,17.1,-0.2,-16.8,-0.2,4,21,0.19,0.0,0.0,0.2487963155163492,0,0,3.0,1.0,2.75,0.0,0.125,0.0,A.J. Bramlett,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,11.55,0.48,0.241,5.55,15.85,0.9,0.44999999999999996,11.95,23.700000000000003,1.1,-5.1,-1.2,617,1418,0.436,9.0,65.0,0.1365,259,333,203.0,9.947019867549669,2.0860927152317883,2.119205298013245,0.37748344370860926,0.15894039735099338,A.J. English,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,4.366666666666667,0.324,0.06833333333333334,2.533333333333333,23.46666666666667,2.466666666666667,0.5,14.433333333333332,20.76666666666667,0.30000000000000004,-11.0,-0.3333333333333333,166,440,0.25566666666666665,73.0,193.0,0.255,37,45,62.0,5.525,1.0,1.8375,0.25,0.15,A.J. Guyton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8.4,0.47200000000000003,0.47600000000000003,12.8,3.8,0.3,7.2,16.4,17.6,0.0,-5.6,-0.1,17,42,0.405,5.0,10.0,0.5,9,20,10.0,2.1818181818181817,1.6363636363636365,0.18181818181818182,0.045454545454545456,0.5909090909090909,A.J. Hammons,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,10.388888888888891,0.43499999999999994,0.15688888888888888,5.577777777777778,22.733333333333334,1.2777777777777777,0.08888888888888889,10.97777777777778,20.833333333333332,5.000000000000001,-4.144444444444444,-0.05555555555555555,600,1581,0.3552222222222222,233.0,747.0,0.24288888888888888,223,303,243.0,5.770034843205575,1.4250871080139373,2.1358885017421603,0.45993031358885017,0.0313588850174216,A.J. Price,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7.6,0.387,0.667,4.2,24.0,1.3,0.0,20.5,21.1,0.0,-9.4,-0.1,3,12,0.25,0.0,1.0,0.0,6,8,4.0,2.0,0.5,1.3333333333333333,0.16666666666666666,0.0,A.J. Wynder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-1.8,0.215,0.375,13.5,0.0,1.6482685648326214,1.410624278568677,15.085098559901937,18.90649185336037,-0.1,-2.3267202000288334,0.5598788286771945,1,8,0.125,22.215036720029588,63.60448037195541,0.2487963155163492,2,3,73.93983201832528,0.6666666666666666,0.6666666666666666,0.0,6.649508743248226,4.078376688945521,A.W. Holt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
797,12.326666666666666,0.5122666666666665,0.18066666666666667,4.3533333333333335,23.84,1.3999999999999997,0.8799999999999998,15.493333333333334,22.15333333333333,23.200000000000003,-2.566666666666667,0.02666666666666667,2829,6893,0.4031333333333333,1025.0,2805.0,0.3544666666666666,1156,1371,1272.0,9.835633626097867,1.7063989962358845,3.117942283563363,0.588456712672522,0.14178168130489335,Aaron Brooks,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,14.266666666666666,0.5293333333333333,0.2923333333333333,12.233333333333334,9.033333333333333,1.4333333333333336,2.0,10.466666666666667,17.633333333333333,10.100000000000001,-0.5666666666666665,0.8000000000000002,760,1652,0.45799999999999996,132.0,457.0,0.28500000000000003,329,471,193.0,9.663414634146342,5.273170731707317,1.5170731707317073,0.7024390243902439,0.5707317073170731,Aaron Gordon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,10.9,0.5250000000000001,0.3895454545454545,18.6,10.000000000000002,1.1181818181818182,1.6181818181818182,23.154545454545456,15.727272727272727,7.1,-2.3636363636363638,0.02727272727272728,509,1007,0.5087272727272727,0.0,4.0,0.1583249280558586,217,379,314.0,3.1912144702842378,3.635658914728682,0.648578811369509,0.29198966408268734,0.2739018087855297,Aaron Gray,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.0499999999999998,0.2365,0.5660000000000001,9.25,12.8,1.6,0.0,7.05,13.3,-0.1,-8.55,-0.05,5,23,0.1315,3.0,12.0,0.15,6,14,4.0,0.7307692307692307,0.6923076923076923,0.19230769230769232,0.23076923076923078,0.0,Aaron Harrison,0.0,0.0,0.0,0.0,0.0,0.0,0.0
