Rank,Name,1st,2nd,3rd,Total
1,Kareem Abdul-Jabbar,10,5,0,15
2,Kobe Bryant,11,2,2,15
3,Tim Duncan,10,3,2,15
4,LeBron James,12,2,1,15
5,Karl Malone,11,2,1,14
6,Shaquille O'Neal,8,2,4,14
7,Bob Cousy,10,2,0,12
8,Julius Erving,5,2,0,7
9,Dirk Nowitzki,4,5,3,12
10,Hakeem Olajuwon,6,3,3,12
11,Dolph Schayes,6,6,0,12
12,Jerry West,10,2,0,12
13,Charles Barkley,5,5,1,11
14,John Havlicek,4,7,0,11
15,Michael Jordan,10,1,0,11
16,Bob Pettit,10,1,0,11
17,Oscar Robertson,9,2,0,11
18,Bill Russell,3,8,0,11
19,John Stockton,2,6,3,11
20,Rick Barry,5,1,0,6
21,Elgin Baylor,10,0,0,10
22,Larry Bird,9,1,0,10
23,Wilt Chamberlain,7,3,0,10
24,Magic Johnson,9,1,0,10
25,David Robinson,4,2,4,10
26,Kevin Durant,6,3,0,9
27,Kevin Garnett,4,3,2,9
28,George Gervin,5,2,0,7
29,Gary Payton,2,5,2,9
30,Dwight Howard,5,1,2,8
31,Moses Malone,4,4,0,8
32,Chris Paul,4,3,1,8
33,Dwyane Wade,2,3,3,8
34,Russell Westbrook,2,5,1,8
35,Patrick Ewing,1,6,0,7
36,Hal Greer,0,7,0,7
37,Allen Iverson,3,3,1,7
38,Tracy McGrady,2,3,2,7
39,Steve Nash,3,2,2,7
40,Scottie Pippen,3,2,2,7
41,Bill Sharman,4,3,0,7
42,Dominique Wilkins,1,4,2,7
43,Carmelo Anthony,0,2,4,6
44,Stephen Curry,3,2,1,6
45,Walt Frazier,4,2,0,6
46,James Harden,5,0,1,6
47,Elvin Hayes,3,3,0,6
48,Jason Kidd,5,1,0,6
49,George Mikan,6,0,0,6
50,LaMarcus Aldridge,0,2,3,5
51,Tiny Archibald,3,2,0,5
52,Billy Cunningham,3,1,0,4
53,Mel Daniels,0,0,0,0
54,Bob Davies,4,1,0,5
55,Clyde Drexler,1,2,2,5
56,Paul George,1,0,4,5
57,Artis Gilmore,0,0,0,0
58,Blake Griffin,0,3,2,5
59,Tim Hardaway,1,3,1,5
60,Spencer Haywood,2,2,0,4
61,Grant Hill,1,4,0,5
62,Dan Issel,0,0,0,0
63,Kevin Johnson,0,4,1,5
64,Neil Johnston,4,1,0,5
65,Jerry Lucas,3,2,0,5
66,Slater Martin,0,5,0,5
67,George McGinnis,1,1,0,2
68,Yao Ming,0,2,3,5
69,Sidney Moncrief,1,4,0,5
70,Willis Reed,1,4,0,5
71,Mitch Richmond,0,3,2,5
